Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Unkown,Regional indicator_Western Europe
Denmark,8.019,1.2773540737015638,1.3492150251265822,0.799040907909414,1.5990961177583891,1.0123875479572237,-2.6981271676384226,0,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.834,1.3120511417418264,1.1960130080790168,0.8420068305323379,1.3205636853589082,1.5013201206013445,-2.8639115282907435,2,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.971,1.3025094480307546,1.1960130080790168,0.8634897918437989,1.5919542605173769,1.700714882597248,-2.639300459019857,3,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.683,1.2539335527743856,1.0683446605393787,0.8849727531552599,1.4419752584561174,1.6508661920982721,-2.8639115282907435,4,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.771,1.2669449532894845,1.3747486946345098,0.9064557144667229,1.4062659722510555,1.5137822932260885,-3.0296958889430643,5,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.788,1.2747517935985442,1.2641027934334903,0.9359947862699822,1.3419892570819452,1.862723126718919,-2.789041171867115,6,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.52,1.2730169401965303,1.1704793385710892,0.9655338580732417,1.3277055425999205,0.8719804030517753,-2.9655212977228107,7,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.589,1.2773540737015638,1.2896364629414179,0.995072929876501,1.2348613984667598,1.3455429627920452,-3.056435301951503,8,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.508,1.2868957674126356,1.2130354544176352,1.0246120016797604,1.3919822577690308,0.7411275904919638,-2.6981271676384226,9,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.514,1.3007745946287408,1.247080347094872,1.0541510734830197,1.3848404005280186,1.389160566978649,-2.94412976731606,10,0,0,0,0,0,0,0,0,0,0,1
Denmark,7.558,1.3224602621539057,1.1960130080790168,1.0944316259420097,1.434833401215105,0.8657493167394034,-2.8425199978839926,11,0,0,0,0,0,0,0,0,0,0,1
